38922,38713,0
38717,38275,0
38332,38295,0
38281,37951,0
37928,37697,0
37706,38170,1
38130,37517,0
37469,36850,0
36894,36821,0
36834,36729,0
36704,36837,1
36853,37257,1
37213,37378,1
37396,36779,0
36822,36969,1
36978,36874,0
36913,37174,1
37210,37216,1
37201,37189,0
37242,37206,0
37256,37650,1
37677,37631,0
37680,37667,0
37684,37302,0
37346,37516,1
37509,37288,0
37320,37107,0
37125,37156,1
37186,37472,1
37523,37460,0
37496,37223,0
37158,36896,0
36866,35734,0
35767,35827,1
35803,34891,0
34863,33322,0
33346,33898,1
33950,34592,1
34587,33830,0
33855,34058,1
34072,33845,0
33857,33791,0
33798,33362,0
33273,33691,1
33724,33993,1
33985,33368,0
33318,32621,0
32578,32352,0
32365,32672,1
32659,32616,0
32609,31263,0
31242,30807,0
30776,29843,0
29851,30372,1
30378,31840,1
31834,31826,0
31800,31264,0
31238,31026,0
31002,29980,0
29980,28002,0
28005,28760,1
28789,28443,0
28423,28249,0
28274,29279,1
29298,30398,1
30383,29625,0
29654,29440,0
29457,29623,1
29586,29214,0
29153,28463,0
28407,28462,1
28427,29249,1
29296,29945,1
29968,29835,0
29834,29679,0
29630,29501,0
29507,29564,1
29574,29425,0
29437,29585,1
29594,29690,1
29736,30174,1
30212,30956,1
30950,30971,1
30980,30946,0
30957,30980,1
31013,31512,1
31542,32043,1
32046,31997,0
31983,31968,0
31970,32062,1
32093,32014,0
31987,31765,0
31721,31938,1
31990,32177,1
32184,32312,1
32340,32794,1
32839,33192,1
33191,32818,0
32805,32926,1
32961,33131,1
33110,32891,0
32911,32925,1
32945,32922,0
32914,32954,1
32939,33193,1
33212,32993,0
32964,32540,0
32490,32322,0
32349,32372,1
32409,32668,1
32659,32538,0
32530,32377,0
32324,32040,0
32045,32088,1
32100,32087,0
32040,31695,0
31638,31124,0
31119,31572,1
31600,32313,1
32324,32106,0
32145,31940,0
31924,32160,1
32180,32415,1
32414,32446,1
32449,32352,0
32346,32445,1
32458,32538,1
32553,32152,0
32151,32294,1
32331,32575,1
32617,32644,1
32678,33022,1
33065,33172,1
33174,33048,0
33051,33056,1
33023,32422,0
32421,31895,0
31834,31702,0
31739,31701,0
31706,31370,0
31341,30863,0
30846,30443,0
30504,31036,1
31086,30838,0
30800,30245,0
30222,29516,0
29486,28600,0
28599,27653,0
27657,28509,1
28502,27616,0
27646,27330,0
27282,26176,0
26194,26673,1
26717,28112,1
28097,27549,0
27527,26787,0
26760,26490,0
26549,26298,0
26254,25211,0
25199,23738,0
23731,24166,1
24183,25142,1
25146,25711,1
25701,24895,0
24916,25670,1
25646,25978,1
26014,25420,0
25429,24908,0
24888,24078,0
24096,23812,0
23787,23962,1
23997,25081,1
25064,24605,0
24601,25216,1
25254,25075,0
25064,24897,0
24889,24366,0
24331,23885,0
23879,23726,0
23734,23603,0
23570,23778,1
23762,23359,0
23371,22251,0
22232,21772,0
21756,20984,0
20986,20222,0
20222,22898,1
22898,22849,0
22829,22278,0
22308,22828,1
22858,23630,1
23643,23495,0
23480,22586,0
22557,22390,0
22404,23109,1
23143,23606,1
23615,23859,1
23858,24367,1
24364,24481,1
24490,25071,1
25099,25298,1
25271,24877,0
24908,25353,1
25323,25006,0
25004,25329,1
25329,25242,0
25253,25194,0
25160,24295,0
24244,24195,0
24232,24385,1
24416,23966,0
23938,23500,0
23444,22970,0
22947,22932,0
